OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,CITY,ZIP,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape
621,621,3597,101902,ALDINE ISD,101902121,ERMEL EL,7103 WOODSMAN TRL,HOUSTON,77040,HOUSTON,77040,HARRIS COUNTY,4,KG-4,1,1,REGULAR,7103 WOODSMAN TRL,Y,621
622,622,3598,101902,ALDINE ISD,101902122,CARMICHAEL EL,6902 SILVER STAR DR,HOUSTON,77086,HOUSTON,77086,HARRIS COUNTY,4,KG-4,1,1,REGULAR,6902 SILVER STAR DR,Y,622
623,623,3599,101902,ALDINE ISD,101902123,CONLEY EL,3345 W GREENS RD,HOUSTON,77066,HOUSTON,77066,HARRIS COUNTY,4,KG-4,1,1,REGULAR,3345 W GREENS RD,Y,623
624,624,3600,101902,ALDINE ISD,101902124,DUNN EL,2003 W W THORNE DR,HOUSTON,77073,HOUSTON,77073,HARRIS COUNTY,4,KG-4,1,0,REGULAR,2003 W W THORNE DR,Y,624
625,625,3601,101902,ALDINE ISD,101902125,GRAY EL,700 W RD,HOUSTON,77038,HOUSTON,77038,HARRIS COUNTY,4,KG-4,1,1,REGULAR,700 W RD,Y,625
626,626,3602,101902,ALDINE ISD,101902126,BLACK EL,160 MILLSTREAM,HOUSTON,77060,HOUSTON,77060,HARRIS COUNTY,4,KG-4,1,0,REGULAR,160 MILLSTREAM,Y,626
627,627,3603,101902,ALDINE ISD,101902127,STOVALL ACADEMY,3025 ELLINGTON,HOUSTON,77088,HOUSTON,77088,HARRIS COUNTY,4,KG-4,1,1,REGULAR,3025 ELLINGTON,Y,627
628,628,3604,101902,ALDINE ISD,101902128,CALVERT EL,1925 MARVELL DR,HOUSTON,77032,HOUSTON,77032,HARRIS COUNTY,4,KG-4,1,0,REGULAR,1925 MARVELL DR,Y,628
629,629,3605,101902,ALDINE ISD,101902151,KEEBLE EC/PRE-K CENTER,203 W GULFBANK RD,HOUSTON,77037,HOUSTON,77037,HARRIS COUNTY,4,EE-PK,1,1,REGULAR,203 W GULFBANK RD,Y,629
630,630,3606,101902,ALDINE ISD,101902153,HINOJOSA EC/PRE-K CENTER,1620 LAUDER RD,HOUSTON,77039,HOUSTON,77039,HARRIS COUNTY,4,EE-PK,1,1,REGULAR,1620 LAUDER RD,Y,630
631,631,3607,101903,ALIEF ISD,101903001,HASTINGS H S,4410 COOK RD,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,4410 COOK RD,Y,631
632,632,3608,101903,ALIEF ISD,101903002,ELSIK H S,12601 HIGH STAR,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,12601 HIGH STAR,Y,632
633,633,3609,101903,ALIEF ISD,101903041,ALIEF MIDDLE,4415 COOK RD,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,4415 COOK RD,Y,633
634,634,3610,101903,ALIEF ISD,101903042,OLLE MIDDLE,9200 BOONE RD,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,8-Jul,3,1,REGULAR,9200 BOONE RD,Y,634
635,635,3611,101903,ALIEF ISD,101903043,KILLOUGH MIDDLE,7600 SYNOTT RD,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,8-Jul,3,1,REGULAR,7600 SYNOTT RD,Y,635
636,636,3612,101903,ALIEF ISD,101903044,HOLUB MIDDLE,9515 S DAIRY ASHFORD,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,8-Jul,3,1,REGULAR,9515 S DAIRY ASHFORD,Y,636
637,637,3613,101903,ALIEF ISD,101903045,ALBRIGHT MIDDLE,6315 WINKLEMAN,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,8-Jul,3,1,REGULAR,6315 WINKLEMAN,Y,637
638,638,3614,101903,ALIEF ISD,101903046,ODONNELL MIDDLE,14041 ALIEF CLODINE,HOUSTON,77082,HOUSTON,77082,HARRIS COUNTY,4,8-Jul,3,1,REGULAR,14041 ALIEF CLODINE,Y,638
639,639,3615,101907,CYPRESS-FAIRBANKS ISD,101907047,COOK MIDDLE SCHOOL,9111 WHEATLAND DR,HOUSTON,77064,HOUSTON,77064,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,9111 WHEATLAND DR,Y,639
640,640,3616,101907,CYPRESS-FAIRBANKS ISD,101907049,HAMILTON MIDDLE SCHOOL,12330 KLUGE RD,CYPRESS,77429,CYPRESS,77429,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,12330 KLUGE RD,Y,640
641,641,3617,101907,CYPRESS-FAIRBANKS ISD,101907050,THORNTON MIDDLE SCHOOL,19802 KIETH HARROW BLVD,KATY,77449,KATY,77449,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,19802 KIETH HARROW BLVD,Y,641
642,642,3618,101907,CYPRESS-FAIRBANKS ISD,101907101,BANE EL,5805 KAISER ST,HOUSTON,77040,HOUSTON,77040,HARRIS COUNTY,4,EE-5,1,1,REGULAR,5805 KAISER ST,Y,642
643,643,3619,101907,CYPRESS-FAIRBANKS ISD,101907103,LAMKIN EL,11521 TELGE RD,CYPRESS,77429,CYPRESS,77429,HARRIS COUNTY,4,PK-5,1,0,REGULAR,11521 TELGE RD,Y,643
644,644,3620,101907,CYPRESS-FAIRBANKS ISD,101907104,POST EL,7600 EQUADOR ST,HOUSTON,77040,HOUSTON,77040,HARRIS COUNTY,4,PK-5,1,1,REGULAR,7600 EQUADOR ST,Y,644
645,645,3621,101907,CYPRESS-FAIRBANKS ISD,101907105,MATZKE EL,13102 JONES RD,HOUSTON,77070,HOUSTON,77070,HARRIS COUNTY,4,"EE,KG-5",1,0,REGULAR,13102 JONES RD,Y,645
646,646,3622,101907,CYPRESS-FAIRBANKS ISD,101907106,HOLBROOK EL,6402 LANGFIELD RD,HOUSTON,77092,HOUSTON,77092,HARRIS COUNTY,4,PK-5,1,1,REGULAR,6402 LANGFIELD RD,Y,646
647,647,3623,101907,CYPRESS-FAIRBANKS ISD,101907107,B F ADAM EL,11303 HONEYGROVE LN,HOUSTON,77065,HOUSTON,77065,HARRIS COUNTY,4,"EE,KG-5",1,0,REGULAR,11303 HONEYGROVE LN,Y,647
648,648,3624,101907,CYPRESS-FAIRBANKS ISD,101907108,T S HANCOCK EL,13801 SCHROEDER RD,HOUSTON,77070,HOUSTON,77070,HARRIS COUNTY,4,KG-5,1,0,REGULAR,13801 SCHROEDER RD,Y,648
649,649,3625,101907,CYPRESS-FAIRBANKS ISD,101907109,YEAGER EL,13615 CHAMPION FOREST DR,HOUSTON,77069,HOUSTON,77069,HARRIS COUNTY,4,EE-5,1,0,REGULAR,13615 CHAMPION FOREST DR,Y,649
650,650,3626,101907,CYPRESS-FAIRBANKS ISD,101907110,MILLSAP EL,12424 HUFFMEISTER RD,CYPRESS,77429,CYPRESS,77429,HARRIS COUNTY,4,PK-5,1,0,REGULAR,12424 HUFFMEISTER RD,Y,650
651,651,3627,101907,CYPRESS-FAIRBANKS ISD,101907111,LIEDER EL,17003 KIETH HARROW BLVD,HOUSTON,77084,HOUSTON,77084,HARRIS COUNTY,4,EE-5,1,1,REGULAR,17003 KIETH HARROW BLVD,Y,651
652,652,3628,101907,CYPRESS-FAIRBANKS ISD,101907112,FRANCONE EL,11250 PERRY RD,HOUSTON,77064,HOUSTON,77064,HARRIS COUNTY,4,PK-5,1,0,REGULAR,11250 PERRY RD,Y,652
653,653,3629,101907,CYPRESS-FAIRBANKS ISD,101907113,HORNE EL,14950 W LITTLE YORK RD,HOUSTON,77084,HOUSTON,77084,HARRIS COUNTY,4,PK-5,1,1,REGULAR,14950 W LITTLE YORK RD,Y,653
654,654,3630,101907,CYPRESS-FAIRBANKS ISD,101907115,MOORE EL,13734 LAKEWOOD FOREST DR,HOUSTON,77070,HOUSTON,77070,HARRIS COUNTY,4,KG-5,1,0,REGULAR,13734 LAKEWOOD FOREST DR,Y,654
655,655,3631,101907,CYPRESS-FAIRBANKS ISD,101907116,LOWERY EL,15950 RDG PARK DR,HOUSTON,77095,HOUSTON,77095,HARRIS COUNTY,4,KG-5,1,1,REGULAR,15950 RDG PARK DR,Y,655
656,656,3632,101907,CYPRESS-FAIRBANKS ISD,101907117,FRAZIER EL,8300 LITTLE RIVER RD,HOUSTON,77064,HOUSTON,77064,HARRIS COUNTY,4,PK-5,1,1,REGULAR,8300 LITTLE RIVER RD,Y,656
657,657,3633,101907,CYPRESS-FAIRBANKS ISD,101907128,HAIRGROVE EL,7120 N ELDRIDGE PKWY,HOUSTON,77041,HOUSTON,77041,HARRIS COUNTY,4,EE-5,1,1,REGULAR,7120 N ELDRIDGE PKWY,Y,657
658,658,3634,101907,CYPRESS-FAIRBANKS ISD,101907129,REED EL,8700 TAMI RENEE LN,HOUSTON,77040,HOUSTON,77040,HARRIS COUNTY,4,EE-5,1,1,REGULAR,8700 TAMI RENEE LN,Y,658
659,659,3635,101907,CYPRESS-FAIRBANKS ISD,101907130,COPELAND EL,18018 FOREST HTS DR,HOUSTON,77095,HOUSTON,77095,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,18018 FOREST HTS DR,Y,659
660,660,3636,101907,CYPRESS-FAIRBANKS ISD,101907131,WILLBERN EL,10811 GOODSPRING DR,HOUSTON,77064,HOUSTON,77064,HARRIS COUNTY,4,EE-5,1,0,REGULAR,10811 GOODSPRING DR,Y,660
661,661,3637,101907,CYPRESS-FAIRBANKS ISD,101907132,SHERIDAN EL,19790 KIETH HARROW BLVD,KATY,77449,KATY,77449,HARRIS COUNTY,4,EE-5,1,0,REGULAR,19790 KIETH HARROW BLVD,Y,661
662,662,3638,101907,CYPRESS-FAIRBANKS ISD,101907133,AULT EL,21010 MAPLE VILLAGE DR,CYPRESS,77429,CYPRESS,77429,HARRIS COUNTY,4,"EE,KG-5",1,0,REGULAR,21010 MAPLE VILLAGE DR,Y,662
663,663,3639,101908,DEER PARK ISD,101908041,DEEPWATER JR HIGH,501 GLENMORE,PASADENA,77503,PASADENA,77503,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,501 GLENMORE,Y,663
664,664,3640,101908,DEER PARK ISD,101908042,DEER PARK JR HIGH,410 E NINTH,DEER PARK,77536,DEER PARK,77536,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,410 E NINTH,Y,664
665,665,3641,101908,DEER PARK ISD,101908043,BONNETTE JR HIGH,5010 PASADENA BLVD,DEER PARK,77536,DEER PARK,77536,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,5010 PASADENA BLVD,Y,665
666,666,3642,101908,DEER PARK ISD,101908044,FAIRMONT JR HIGH,4911 HOLLY BAY CT,PASADENA,77505,PASADENA,77505,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,4911 HOLLY BAY CT,Y,666
667,667,3643,101910,GALENA PARK ISD,101910002,GALENA PARK H S,1000 KEENE,GALENA PARK,77547,GALENA PARK,77547,HARRIS COUNTY,4,12-Sep,4,0,REGULAR,1000 KEENE,Y,667
668,668,3644,101910,GALENA PARK ISD,101910003,NORTH SHORE H S,13501 HOLLY PARK,HOUSTON,77015,HOUSTON,77015,HARRIS COUNTY,4,12-Oct,4,0,REGULAR,13501 HOLLY PARK,Y,668
669,669,3645,101912,HOUSTON ISD,101912023,SHARPSTOWN H S,7504 BISSONNET ST,HOUSTON,77074,HOUSTON,77074,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,7504 BISSONNET ST,Y,669
670,670,3646,101912,HOUSTON ISD,101912024,SCARBOROUGH H S,4141 COSTA RICA,HOUSTON,77092,HOUSTON,77092,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,4141 COSTA RICA,Y,670
671,671,3647,101912,HOUSTON ISD,101912025,PERFOR & VIS ARTS H S,4001 STANFORD,HOUSTON,77006,HOUSTON,77006,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,4001 STANFORD,Y,671
672,672,3648,101912,HOUSTON ISD,101912026,DEBAKEY H S FOR HEALTH PROF,3100 SHENANDOAH ST,HOUSTON,77021,HOUSTON,77021,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,3100 SHENANDOAH ST,Y,672
673,673,3649,101912,HOUSTON ISD,101912029,CONTEMPORARY LRN CTR H S,1906 CLEBURNE ST,HOUSTON,77004,HOUSTON,77004,HARRIS COUNTY,4,12-Sep,4,1,ALTERNATIVE,1906 CLEBURNE ST,Y,673
674,674,3650,101912,HOUSTON ISD,101912033,BARBARA JORDAN H S,5800 EASTEX FWY,HOUSTON,77026,HOUSTON,77026,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,5800 EASTEX FWY,Y,674
675,675,3651,101912,HOUSTON ISD,101912034,LAW ENFCMT-CRIM JUST H S,4701 DICKSON ST,HOUSTON,77007,HOUSTON,77007,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,4701 DICKSON ST,Y,675
676,676,3652,101912,HOUSTON ISD,101912039,T H ROGERS SEC,5840 SAN FELIPE ST,HOUSTON,77057,HOUSTON,77057,HARRIS COUNTY,4,12-Jun,5,1,REGULAR,5840 SAN FELIPE ST,Y,676
677,677,3653,101912,HOUSTON ISD,101912041,ATTUCKS MIDDLE,4330 BELLFORT BLVD,HOUSTON,77051,HOUSTON,77051,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,4330 BELLFORT BLVD,Y,677
678,678,3655,101912,HOUSTON ISD,101912042,BLACK MIDDLE,1575 CHANTILLY,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,1575 CHANTILLY,Y,678
679,679,3656,101912,HOUSTON ISD,101912043,BURBANK MIDDLE,315 BERRY RD,HOUSTON,77022,HOUSTON,77022,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,315 BERRY RD,Y,679
680,680,3657,101912,HOUSTON ISD,101912044,CULLEN MIDDLE,6900 SCOTT ST,HOUSTON,77021,HOUSTON,77021,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,6900 SCOTT ST,Y,680
681,681,3658,101912,HOUSTON ISD,101912045,DEADY MIDDLE,2500 BROADWAY ST,HOUSTON,77012,HOUSTON,77012,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,2500 BROADWAY ST,Y,681
682,682,3659,101912,HOUSTON ISD,101912046,EDISON MIDDLE,6901 AVE I,HOUSTON,77011,HOUSTON,77011,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,6901 AVE I,Y,682
683,683,3660,101912,HOUSTON ISD,101912082,M C WILLIAMS MIDDLE,6100 KNOX ST,HOUSTON,77091,HOUSTON,77091,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,6100 KNOX ST,Y,683
684,684,3661,101912,HOUSTON ISD,101912094,HARPER ALTERNATIVE SCHOOL,3200 CTR ST,HOUSTON,77007,HOUSTON,77007,HARRIS COUNTY,4,12-Jun,5,1,REGULAR,3200 CTR ST,Y,684
685,685,3662,101912,HOUSTON ISD,101912098,STEVENSON MIDDLE,9595 WINKLER,HOUSTON,77017,HOUSTON,77017,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,9595 WINKLER,Y,685
686,686,3663,101912,HOUSTON ISD,101912102,ALCOTT EL,5859 BELLFORT,HOUSTON,77033,HOUSTON,77033,HARRIS COUNTY,4,EE-5,1,1,REGULAR,5859 BELLFORT,Y,686
687,687,3665,101912,HOUSTON ISD,101912104,ALMEDA EL,14249 BRIDGEPORT RD,HOUSTON,77047,HOUSTON,77047,HARRIS COUNTY,4,EE-6,1,1,REGULAR,14249 BRIDGEPORT RD,Y,687
688,688,3666,101912,HOUSTON ISD,101912105,ANDERSON EL,5727 LUDINGTON DR,HOUSTON,77035,HOUSTON,77035,HARRIS COUNTY,4,EE-5,1,1,REGULAR,5727 LUDINGTON DR,Y,688
689,689,3667,101912,HOUSTON ISD,101912106,ATHERTON EL,2011 SOLO ST,HOUSTON,77020,HOUSTON,77020,HARRIS COUNTY,4,EE-6,1,1,REGULAR,2011 SOLO ST,Y,689
690,690,3668,101912,HOUSTON ISD,101912107,BARRICK EL,12001 WINFREY LN,HOUSTON,77076,HOUSTON,77076,HARRIS COUNTY,4,EE-5,1,1,REGULAR,12001 WINFREY LN,Y,690
691,691,3669,101912,HOUSTON ISD,101912108,BASTIAN EL,7350 CALHOUN ST,HOUSTON,77033,HOUSTON,77033,HARRIS COUNTY,4,EE-5,1,1,REGULAR,7350 CALHOUN ST,Y,691
692,692,3670,101912,HOUSTON ISD,101912109,BERRY EL,2310 BERRY RD,HOUSTON,77093,HOUSTON,77093,HARRIS COUNTY,4,EE-5,1,1,REGULAR,2310 BERRY RD,Y,692
693,693,3671,101912,HOUSTON ISD,101912110,BLACKSHEAR EL,2900 HOLMAN AVE,HOUSTON,77004,HOUSTON,77004,HARRIS COUNTY,4,EE-6,1,1,REGULAR,2900 HOLMAN AVE,Y,693
694,694,3672,101912,HOUSTON ISD,101912111,BONHAM EL,8302 BRAES RIVER DR,HOUSTON,77074,HOUSTON,77074,HARRIS COUNTY,4,EE-5,1,1,REGULAR,8302 BRAES RIVER DR,Y,694
695,695,3673,101912,HOUSTON ISD,101912112,BONNER EL,8100 ELROD ST,HOUSTON,77017,HOUSTON,77017,HARRIS COUNTY,4,EE-5,1,0,REGULAR,8100 ELROD ST,Y,695
696,696,3674,101912,HOUSTON ISD,101912113,BOWIE EL,7501 CURRY RD,HOUSTON,77093,HOUSTON,77093,HARRIS COUNTY,4,EE-5,1,1,REGULAR,7501 CURRY RD,Y,696
697,697,3675,101912,HOUSTON ISD,101912114,BRAEBURN EL,7707 RAMPART ST,HOUSTON,77081,HOUSTON,77081,HARRIS COUNTY,4,EE-5,1,1,REGULAR,7707 RAMPART ST,Y,697
698,698,3676,101912,HOUSTON ISD,101912115,DURHAM EL,4803 BRINKMAN ST,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,EE-5,1,1,REGULAR,4803 BRINKMAN ST,Y,698
699,699,3677,101912,HOUSTON ISD,101912116,BRIARGROVE EL,6145 SAN FELIPE ST,HOUSTON,77057,HOUSTON,77057,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,6145 SAN FELIPE ST,Y,699
700,700,3678,101912,HOUSTON ISD,101912117,BRISCOE EL,321 FOREST HILL,HOUSTON,77011,HOUSTON,77011,HARRIS COUNTY,4,EE-6,1,1,REGULAR,321 FOREST HILL,Y,700
701,701,3679,101912,HOUSTON ISD,101912119,BROOKLINE EL,6301 S LOOP E,HOUSTON,77087,HOUSTON,77087,HARRIS COUNTY,4,EE-5,1,1,REGULAR,6301 S LOOP E,Y,701
702,702,3680,101912,HOUSTON ISD,101912120,BROWNING EL,607 NORTHWOOD ST,HOUSTON,77009,HOUSTON,77009,HARRIS COUNTY,4,EE-5,1,1,REGULAR,607 NORTHWOOD ST,Y,702
703,703,3681,101912,HOUSTON ISD,101912121,BRUCE EL,713 BRINGHURST ST,HOUSTON,77020,HOUSTON,77020,HARRIS COUNTY,4,EE-6,1,1,REGULAR,713 BRINGHURST ST,Y,703
704,704,3682,101909,NORTH FOREST ISD,101909102,FONWOOD EL,10710 SENECA ST,HOUSTON,77016,HOUSTON,77016,HARRIS COUNTY,4,KG-4,1,1,REGULAR,10710 SENECA ST,Y,704
705,705,3683,101909,NORTH FOREST ISD,101909103,HILLIARD EL,6511 N WAYSIDE DR,HOUSTON,77028,HOUSTON,77078,HARRIS COUNTY,4,KG-4,1,0,REGULAR,6511 N WAYSIDE DR,Y,705
706,706,3684,101909,NORTH FOREST ISD,101909105,THURGOOD MARSHALL EL,11433 SUBURBAN DR,HOUSTON,77016,HOUSTON,77050,HARRIS COUNTY,4,EE-KG,1,0,REGULAR,11433 SUBURBAN DR,Y,706
707,707,3685,101909,NORTH FOREST ISD,101909106,W E ROGERS EL,10550 JAMES L REAUX DR,HOUSTON,77016,HOUSTON,77016,HARRIS COUNTY,4,EE-4,1,0,REGULAR,10550 JAMES L REAUX DR,?,707
708,708,3686,101909,NORTH FOREST ISD,101909108,SHADYDALE ELEMENTARY,5905 TIDWELL RD,HOUSTON,77028,HOUSTON,77028,HARRIS COUNTY,4,KG-4,1,1,REGULAR,5905 TIDWELL RD,Y,708
709,709,3687,101912,HOUSTON ISD,101912207,MONTGOMERY EL,4000 SIMSBROOK DR,HOUSTON,77045,HOUSTON,77045,HARRIS COUNTY,4,EE-5,1,1,REGULAR,4000 SIMSBROOK DR,Y,709
710,710,3688,101912,HOUSTON ISD,101912209,NEFF EL,8200 CARVEL LN,HOUSTON,77036,HOUSTON,77036,HARRIS COUNTY,4,EE-5,1,1,REGULAR,8200 CARVEL LN,Y,710
711,711,3689,101912,HOUSTON ISD,101912210,NORTHLINE EL,821 WITCHER LN,HOUSTON,77076,HOUSTON,77076,HARRIS COUNTY,4,EE-5,1,1,REGULAR,821 WITCHER LN,Y,711
712,712,3690,101912,HOUSTON ISD,101912211,OAK FOREST EL,1401 W 43RD ST,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,1401 W 43RD ST,Y,712
713,713,3691,101912,HOUSTON ISD,101912212,OATES EL,10044 WALLISVILLE RD,HOUSTON,77013,HOUSTON,77013,HARRIS COUNTY,4,EE-6,1,0,REGULAR,10044 WALLISVILLE RD,Y,713
714,714,3692,101912,HOUSTON ISD,101912213,OSBORNE EL,800 RINGOLD ST,HOUSTON,77088,HOUSTON,77088,HARRIS COUNTY,4,EE-5,1,1,REGULAR,800 RINGOLD ST,Y,714
715,715,3693,101912,HOUSTON ISD,101912214,PARK PLACE EL,8235 PARK PL BLVD,HOUSTON,77017,HOUSTON,77017,HARRIS COUNTY,4,EE-5,1,0,REGULAR,8235 PARK PL BLVD,Y,715
716,716,3694,101912,HOUSTON ISD,101912215,PARKER EL,10626 ATWELL DR,HOUSTON,77096,HOUSTON,77096,HARRIS COUNTY,4,EE-5,1,1,REGULAR,10626 ATWELL DR,Y,716
717,717,3695,101912,HOUSTON ISD,101912216,PATTERSON EL,5302 ALLENDALE RD,HOUSTON,77017,HOUSTON,77017,HARRIS COUNTY,4,EE-5,1,0,REGULAR,5302 ALLENDALE RD,Y,717
718,718,3696,101912,HOUSTON ISD,101912217,PECK EL,5130 ARVILLA LN,HOUSTON,77021,HOUSTON,77021,HARRIS COUNTY,4,EE-5,1,1,REGULAR,5130 ARVILLA LN,Y,718
719,719,3697,101912,HOUSTON ISD,101912218,PILGRIM EL,3315 BARRINGTON RD,HOUSTON,77056,HOUSTON,77056,HARRIS COUNTY,4,EE-5,1,1,REGULAR,3315 BARRINGTON RD,Y,719
720,720,3698,101912,HOUSTON ISD,101912219,PINEY POINT EL,8921 PAGEWOOD LN,HOUSTON,77063,HOUSTON,77063,HARRIS COUNTY,4,EE-5,1,1,REGULAR,8921 PAGEWOOD LN,Y,720
721,721,3699,101912,HOUSTON ISD,101912220,PLEASANTVILLE EL,1431 GELLHORN DR,HOUSTON,77029,HOUSTON,77029,HARRIS COUNTY,4,EE-5,1,0,REGULAR,1431 GELLHORN DR,Y,721
722,722,3700,101912,HOUSTON ISD,101912221,POE EL,5100 HAZARD ST,HOUSTON,77098,HOUSTON,77098,HARRIS COUNTY,4,EE-5,1,1,REGULAR,5100 HAZARD ST,Y,722
723,723,3701,101912,HOUSTON ISD,101912222,PORT HOUSTON EL,1800 MCCARTY ST,HOUSTON,77029,HOUSTON,77029,HARRIS COUNTY,4,EE-6,1,0,REGULAR,1800 MCCARTY ST,Y,723
724,724,3702,101912,HOUSTON ISD,101912223,PUGH EL,1147 KRESS ST,HOUSTON,77020,HOUSTON,77020,HARRIS COUNTY,4,EE-5,1,1,REGULAR,1147 KRESS ST,Y,724
725,725,3703,101912,HOUSTON ISD,101912224,RED EL,4520 TONAWANDA DR,HOUSTON,77035,HOUSTON,77035,HARRIS COUNTY,4,EE-5,1,1,REGULAR,4520 TONAWANDA DR,Y,725
726,726,3704,101912,HOUSTON ISD,101912225,REYNOLDS EL,9601 ROSEHAVEN DR,HOUSTON,77051,HOUSTON,77051,HARRIS COUNTY,4,EE-6,1,1,REGULAR,9601 ROSEHAVEN DR,Y,726
727,727,3705,101912,HOUSTON ISD,101912227,MCNAMARA EL,8714 MCAVOY DR,HOUSTON,77074,HOUSTON,77074,HARRIS COUNTY,4,EE-5,1,1,REGULAR,8714 MCAVOY DR,Y,727
728,728,3706,101912,HOUSTON ISD,101912228,RIVER OAKS EL,2008 KIRBY DR,HOUSTON,77019,HOUSTON,77019,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,2008 KIRBY DR,Y,728
729,729,3707,101912,HOUSTON ISD,101912229,ROBERTS EL,6000 GREENBRIAR ST,HOUSTON,77030,HOUSTON,77030,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,6000 GREENBRIAR ST,Y,729
730,730,3708,101912,HOUSTON ISD,101912231,ROOSEVELT EL,6700 FULTON ST,HOUSTON,77022,HOUSTON,77022,HARRIS COUNTY,4,EE-5,1,1,REGULAR,6700 FULTON ST,Y,730
731,731,3709,101912,HOUSTON ISD,101912232,ROSS EL,2819 BAY ST,HOUSTON,77026,HOUSTON,77026,HARRIS COUNTY,4,EE-5,1,1,REGULAR,2819 BAY ST,Y,731
732,732,3710,101912,HOUSTON ISD,101912233,RUCKER EL,5201 VINETT ST,HOUSTON,77017,HOUSTON,77017,HARRIS COUNTY,4,EE-5,1,0,REGULAR,5201 VINETT ST,Y,732
733,733,3711,101912,HOUSTON ISD,101912234,RUSK EL,2805 GARROW ST,HOUSTON,77003,HOUSTON,77003,HARRIS COUNTY,4,EE-6,1,1,REGULAR,2805 GARROW ST,Y,733
734,734,3712,101912,HOUSTON ISD,101912237,SCARBOROUGH EL,3021 LITTLE YORK RD,HOUSTON,77093,HOUSTON,77093,HARRIS COUNTY,4,EE-5,1,1,REGULAR,3021 LITTLE YORK RD,Y,734
735,735,3715,101912,HOUSTON ISD,101912239,SHEARN EL,9802 STELLA LINK RD,HOUSTON,77025,HOUSTON,77025,HARRIS COUNTY,4,EE-5,1,1,REGULAR,9802 STELLA LINK RD,Y,735
736,736,3716,101912,HOUSTON ISD,101912240,SHERMAN EL,1909 MCKEE ST,HOUSTON,77009,HOUSTON,77020,HARRIS COUNTY,4,EE-5,1,1,REGULAR,1909 MCKEE ST,Y,736
737,737,3717,101912,HOUSTON ISD,101912241,SINCLAIR EL,6410 GROVEWOOD LN,HOUSTON,77008,HOUSTON,77008,HARRIS COUNTY,4,"EE,KG-5",1,1,REGULAR,6410 GROVEWOOD LN,Y,737
738,738,3718,101912,HOUSTON ISD,101912242,SMITH EL,4802 CHRYSTELL LN,HOUSTON,77092,HOUSTON,77092,HARRIS COUNTY,4,EE-5,1,1,REGULAR,4802 CHRYSTELL LN,Y,738
739,739,3719,101912,HOUSTON ISD,101912243,THOMPSON EL,3500 TAMPA ST,HOUSTON,77021,HOUSTON,77021,HARRIS COUNTY,4,EE-5,1,1,REGULAR,3500 TAMPA ST,Y,739
740,740,3720,101912,HOUSTON ISD,101912244,SOUTHMAYD EL,1800 CORAL ST,HOUSTON,77012,HOUSTON,77012,HARRIS COUNTY,4,EE-5,1,0,REGULAR,1800 CORAL ST,Y,740
741,741,3721,101912,HOUSTON ISD,101912245,STEVENS EL,1910 LAMONTE LN,HOUSTON,77018,HOUSTON,77018,HARRIS COUNTY,4,EE-5,1,1,REGULAR,1910 LAMONTE LN,Y,741
